hour_of_day,day_of_week,is_weekend,is_night,location_type,incident_count_7d,incident_count_30d,lighting_score,crowd_density,safety_label
4,0,0,1,4,10,19,0.8465,0.2247,2
8,2,0,0,3,4,15,0.5172,0.8065,2
11,1,0,0,0,15,28,0.5643,0.6162,2
11,5,1,0,3,0,3,0.8586,0.0566,2
1,6,1,1,0,16,23,0.8696,0.3579,1
13,0,0,0,2,18,26,0.8023,0.8584,1
3,4,0,1,4,0,5,0.8186,0.2774,2
17,4,0,0,1,12,26,0.8796,0.7197,2
16,2,0,0,0,1,8,0.1138,0.0938,3
22,3,0,1,2,7,15,0.2926,0.9305,1
17,5,1,0,1,6,8,0.9761,0.4493,2
8,2,0,0,0,10,16,0.5448,0.4916,2
23,0,0,1,2,18,27,0.1765,0.5698,1
9,2,0,0,1,9,15,0.5031,0.3634,2
7,1,0,0,0,7,18,0.6458,0.7253,3
21,2,0,1,1,1,3,0.8282,0.0146,2
8,1,0,0,0,17,19,0.8122,0.1622,1
1,1,0,1,4,6,11,0.0492,0.1888,1
11,6,1,0,4,9,13,0.4535,0.6353,2
19,0,0,0,1,1,13,0.0206,0.8906,3
4,4,0,1,4,5,18,0.8882,0.0636,2
11,5,1,0,2,11,18,0.1739,0.8525,1
3,4,0,1,4,18,25,0.6249,0.8195,1
16,6,1,0,0,6,10,0.5706,0.0766,2
11,0,0,0,1,11,18,0.6255,0.1432,2
7,2,0,0,3,17,27,0.5634,0.35,1
5,1,0,0,1,7,17,0.7156,0.1147,3
13,4,0,0,4,5,19,0.6261,0.7583,3
16,4,0,0,2,0,8,0.0903,0.5041,3
22,6,1,1,2,18,23,0.3668,0.4108,1
10,2,0,0,2,2,3,0.5466,0.7249,3
3,1,0,1,3,4,14,0.0976,0.2929,1
19,6,1,0,0,2,14,0.7603,0.8715,3
15,4,0,0,3,14,22,0.3179,0.654,1
16,5,1,0,3,7,20,0.8287,0.3465,1
2,3,0,1,4,14,18,0.1467,0.5399,1
7,3,0,0,4,12,12,0.7694,0.2594,2
18,2,0,0,3,0,9,0.1835,0.985,2
19,5,1,0,2,6,7,0.528,0.4356,2
10,1,0,0,2,0,1,0.3205,0.8968,3
19,6,1,0,1,1,11,0.6373,0.978,3
20,1,0,1,4,9,15,0.2127,0.5358,2
9,3,0,0,1,5,14,0.7954,0.73,3
21,2,0,1,2,1,12,0.5736,0.5722,2
6,4,0,0,0,8,13,0.9573,0.0916,3
5,4,0,0,1,9,18,0.7118,0.9524,3
16,6,1,0,1,19,27,0.6074,0.4566,1
15,5,1,0,2,13,21,0.8292,0.8941,2
3,1,0,1,2,7,17,0.2197,0.6556,1
19,1,0,0,3,9,14,0.6327,0.1052,2
4,6,1,1,2,1,8,0.3904,0.4171,2
19,3,0,0,0,7,15,0.7438,0.1958,3
0,0,0,1,2,11,13,0.0245,0.1699,1
19,5,1,0,0,0,3,0.4277,0.7151,3
18,4,0,0,4,18,19,0.6517,0.03,2
18,0,0,0,3,10,12,0.4606,0.9661,1
15,5,1,0,1,15,21,0.238,0.4499,1
11,4,0,0,1,5,19,0.4643,0.4898,3
16,4,0,0,0,16,29,0.8497,0.2994,2
6,6,1,0,1,7,18,0.2068,0.0856,2
18,3,0,0,0,18,26,0.3672,0.5882,1
13,3,0,0,4,10,13,0.9903,0.3448,2
11,4,0,0,0,12,17,0.9128,0.6241,3
12,1,0,0,3,4,15,0.034,0.5558,1
13,1,0,0,2,19,32,0.5303,0.2169,1
0,5,1,1,1,3,17,0.0654,0.4617,2
3,1,0,1,4,0,5,0.9239,0.3081,2
5,3,0,0,0,8,15,0.4415,0.2397,3
2,1,0,1,4,16,23,0.4184,0.7697,1
10,1,0,0,3,18,18,0.2729,0.0119,1
16,4,0,0,3,17,18,0.5688,0.2689,1
15,5,1,0,4,11,11,0.145,0.5311,1
11,3,0,0,2,18,29,0.799,0.4761,1
20,0,0,1,1,9,12,0.4912,0.9402,1
13,1,0,0,0,9,19,0.5665,0.8437,2
1,1,0,1,4,3,8,0.8408,0.7516,2
18,6,1,0,2,15,26,0.1851,0.5141,1
13,2,0,0,4,6,7,0.1752,0.4289,2
15,2,0,0,1,3,7,0.4208,0.0366,2
13,0,0,0,4,7,10,0.7861,0.8217,3
13,3,0,0,4,12,18,0.0585,0.4307,2
2,6,1,1,1,5,13,0.7952,0.321,2
13,2,0,0,2,7,9,0.5008,0.6066,2
19,4,0,0,3,6,16,0.5618,0.7541,2
7,1,0,0,1,11,25,0.5644,0.5231,2
14,1,0,0,0,14,14,0.0562,0.1496,2
0,5,1,1,1,13,14,0.2498,0.9216,1
8,0,0,0,2,2,16,0.7553,0.1128,2
10,3,0,0,0,6,15,0.4123,0.9696,3
23,2,0,1,1,12,25,0.5605,0.4425,1
5,0,0,0,4,4,14,0.9449,0.9466,3
6,3,0,0,0,1,11,0.0463,0.9146,2
9,6,1,0,0,6,8,0.4497,0.4063,2
23,0,0,1,2,13,20,0.3613,0.8,1
20,5,1,1,0,13,18,0.1064,0.0898,1
0,3,0,1,0,2,14,0.9508,0.0827,2
5,5,1,0,0,13,13,0.9615,0.356,2
19,0,0,0,0,3,3,0.3115,0.6098,3
1,6,1,1,4,14,22,0.9467,0.0093,1
20,0,0,1,0,11,25,0.0352,0.5152,1
6,6,1,0,2,2,16,0.9809,0.9756,3
22,4,0,1,3,7,15,0.2508,0.8584,1
7,2,0,0,3,16,22,0.2143,0.2325,1
10,0,0,0,3,8,12,0.5995,0.5281,1
15,4,0,0,1,13,27,0.7983,0.1714,2
3,0,0,1,4,14,16,0.3193,0.2633,1
13,4,0,0,0,0,1,0.3538,0.923,3
12,5,1,0,0,18,25,0.629,0.9978,1
18,1,0,0,4,6,11,0.1471,0.2426,2
23,1,0,1,0,15,22,0.1182,0.2121,1
15,1,0,0,0,9,22,0.2498,0.3839,3
9,1,0,0,0,11,15,0.7413,0.4459,2
9,0,0,0,0,7,20,0.3666,0.0892,3
10,1,0,0,0,17,20,0.5074,0.1477,1
19,4,0,0,2,2,6,0.1955,0.4248,2
7,2,0,0,3,17,17,0.1941,0.2354,1
4,5,1,1,0,4,14,0.6505,0.8449,1
8,5,1,0,4,17,29,0.1084,0.7515,1
0,5,1,1,0,0,13,0.6678,0.5363,2
2,3,0,1,3,0,2,0.1202,0.4326,1
2,2,0,1,4,1,12,0.6713,0.831,2
18,6,1,0,2,10,12,0.3817,0.166,1
17,1,0,0,2,5,14,0.8461,0.8874,3
16,3,0,0,0,11,21,0.0556,0.0491,2
11,3,0,0,1,16,18,0.8933,0.9234,2
17,5,1,0,4,0,1,0.2687,0.1388,3
3,3,0,1,1,10,11,0.0425,0.8121,1
21,5,1,1,0,14,24,0.5624,0.018,1
12,6,1,0,3,8,17,0.2244,0.8151,1
22,2,0,1,3,18,19,0.1378,0.5841,1
3,6,1,1,0,13,20,0.8023,0.019,1
11,1,0,0,0,0,11,0.7915,0.7742,3
16,6,1,0,0,10,13,0.6004,0.1016,2
11,1,0,0,0,7,16,0.9779,0.5399,3
10,5,1,0,3,2,6,0.4638,0.332,1
3,2,0,1,0,19,22,0.0394,0.7592,1
9,6,1,0,3,4,9,0.8194,0.8532,2
5,0,0,0,0,1,6,0.2213,0.4643,3
7,3,0,0,4,4,11,0.1762,0.7579,2
16,6,1,0,3,16,19,0.07,0.9166,1
15,0,0,0,1,11,16,0.3279,0.6892,2
14,1,0,0,2,16,25,0.3262,0.322,1
8,0,0,0,0,9,14,0.3028,0.4633,2
23,2,0,1,0,2,11,0.5932,0.23,2
2,2,0,1,2,7,8,0.7515,0.4584,2
8,4,0,0,0,3,5,0.9378,0.2459,3
2,1,0,1,3,11,23,0.0282,0.8072,1
8,1,0,0,1,5,11,0.1504,0.6099,2
23,1,0,1,0,19,28,0.5898,0.6332,1
8,6,1,0,2,7,18,0.0981,0.1103,1
21,6,1,1,2,6,8,0.3708,0.0015,1
11,1,0,0,3,19,33,0.6246,0.7892,1
16,1,0,0,0,10,16,0.7805,0.5423,2
10,0,0,0,2,3,16,0.2176,0.9316,3
6,6,1,0,4,9,15,0.668,0.5372,2
18,4,0,0,1,5,11,0.6459,0.2147,3
23,5,1,1,4,14,23,0.8596,0.6985,1
6,2,0,0,3,11,13,0.3137,0.701,1
18,4,0,0,2,14,23,0.7501,0.0655,2
6,0,0,0,4,18,32,0.752,0.6937,2
17,4,0,0,4,14,23,0.2392,0.2125,1
18,4,0,0,1,6,7,0.6212,0.2545,3
10,2,0,0,4,4,14,0.6752,0.0314,3
17,4,0,0,0,10,10,0.2744,0.6274,2
6,4,0,0,0,8,9,0.4518,0.7317,3
1,3,0,1,0,6,10,0.4358,0.2305,1
2,1,0,1,1,16,20,0.7735,0.7925,1
10,0,0,0,4,18,18,0.0007,0.762,1
21,6,1,1,3,7,7,0.1503,0.4098,1
3,1,0,1,3,13,24,0.0553,0.0682,1
10,2,0,0,0,19,25,0.6468,0.2802,2
16,4,0,0,2,0,2,0.6804,0.1654,3
4,1,0,1,1,7,13,0.5011,0.9588,1
17,2,0,0,2,14,24,0.542,0.8177,1
7,4,0,0,1,9,20,0.3151,0.0784,3
19,4,0,0,1,15,19,0.3133,0.5135,1
13,4,0,0,4,9,11,0.7451,0.2669,2
13,0,0,0,2,1,15,0.1317,0.0321,2
4,3,0,1,2,8,17,0.7715,0.3223,1
11,3,0,0,0,8,22,0.655,0.1276,2
20,4,0,1,3,16,20,0.2653,0.2227,1
0,1,0,1,2,2,3,0.2601,0.3265,1
18,1,0,0,1,3,8,0.5062,0.4089,3
11,5,1,0,3,2,6,0.039,0.4684,1
17,4,0,0,0,11,21,0.9125,0.5202,2
15,5,1,0,2,19,29,0.6754,0.37,1
10,1,0,0,4,12,13,0.6229,0.4983,2
7,6,1,0,2,16,24,0.7327,0.4179,1
15,1,0,0,0,17,22,0.2843,0.9644,1
3,4,0,1,1,12,21,0.6039,0.0676,1
14,1,0,0,0,12,17,0.8009,0.586,2
2,6,1,1,2,4,12,0.0903,0.1936,1
15,2,0,0,1,19,29,0.9588,0.3754,2
15,5,1,0,0,15,19,0.8919,0.5465,1
2,2,0,1,3,17,19,0.2889,0.7598,1
18,5,1,0,0,19,29,0.8083,0.9777,2
9,3,0,0,1,6,20,0.2943,0.4936,2
18,0,0,0,4,2,8,0.5816,0.257,3
0,1,0,1,0,17,31,0.1202,0.7916,1
4,4,0,1,1,9,11,0.7542,0.2216,2
11,1,0,0,1,19,31,0.1536,0.5078,1
4,1,0,1,2,13,27,0.8668,0.8467,1
7,3,0,0,1,5,9,0.2406,0.4038,2
15,1,0,0,4,7,9,0.1604,0.557,3
3,0,0,1,0,12,21,0.0709,0.1196,1
16,4,0,0,4,7,20,0.7114,0.056,3
2,4,0,1,2,5,6,0.1862,0.9863,1
4,5,1,1,0,4,13,0.1977,0.1789,1
14,6,1,0,0,12,25,0.1697,0.3355,1
19,0,0,0,0,0,0,0.3058,0.5047,3
4,2,0,1,1,1,8,0.9412,0.3745,2
7,1,0,0,1,0,1,0.4866,0.0973,3
22,6,1,1,3,14,16,0.0783,0.1969,1
23,3,0,1,1,0,7,0.1704,0.4934,2
13,0,0,0,3,8,12,0.0189,0.4388,1
10,4,0,0,1,2,3,0.365,0.7982,3
8,0,0,0,1,11,23,0.1101,0.3118,2
14,1,0,0,1,0,3,0.027,0.9403,3
14,5,1,0,1,0,13,0.103,0.2828,3
7,3,0,0,4,8,10,0.3185,0.3313,2
0,5,1,1,1,13,20,0.7509,0.9493,1
3,3,0,1,1,2,12,0.067,0.8405,2
23,5,1,1,4,9,16,0.6787,0.317,1
10,3,0,0,3,16,22,0.6205,0.3953,1
11,0,0,0,0,12,23,0.882,0.8423,3
11,0,0,0,4,15,15,0.184,0.0861,1
18,5,1,0,0,6,18,0.7943,0.2947,3
1,0,0,1,0,18,28,0.8649,0.5316,1
1,2,0,1,2,2,13,0.9765,0.8289,2
6,0,0,0,3,12,18,0.8085,0.5646,1
11,2,0,0,0,8,13,0.1238,0.4898,2
16,4,0,0,3,0,8,0.9471,0.9621,3
11,1,0,0,0,18,27,0.815,0.1164,2
10,3,0,0,3,14,27,0.2123,0.7801,1
22,6,1,1,0,4,16,0.1652,0.127,1
3,0,0,1,2,1,1,0.9364,0.7328,2
13,0,0,0,3,13,15,0.1557,0.5431,1
13,1,0,0,1,10,24,0.7771,0.2646,3
11,5,1,0,3,0,5,0.4053,0.5433,2
19,2,0,0,3,19,27,0.7238,0.8794,1
6,4,0,0,3,14,14,0.0919,0.4722,1
22,0,0,1,1,9,10,0.7251,0.0066,2
7,5,1,0,3,4,10,0.5119,0.0566,2
13,0,0,0,3,5,15,0.9004,0.6326,2
12,4,0,0,1,9,20,0.1884,0.6779,2
20,1,0,1,3,1,14,0.0328,0.4018,1
10,6,1,0,4,7,9,0.1962,0.2428,2
6,2,0,0,4,4,7,0.0786,0.716,3
0,1,0,1,3,2,10,0.294,0.3042,1
8,2,0,0,3,2,10,0.1229,0.074,2
19,0,0,0,4,6,6,0.2009,0.4096,2
0,1,0,1,1,7,13,0.8097,0.5391,2
21,4,0,1,3,7,20,0.074,0.9656,1
13,2,0,0,0,13,15,0.2223,0.5922,2
3,2,0,1,1,10,22,0.6723,0.2083,1
7,5,1,0,4,3,9,0.3988,0.8322,2
13,0,0,0,1,19,26,0.8355,0.2915,1
7,2,0,0,4,14,23,0.6383,0.9593,2
2,1,0,1,2,9,19,0.2882,0.3253,1
15,3,0,0,1,0,9,0.5979,0.9095,3
16,2,0,0,0,18,19,0.8665,0.879,1
2,0,0,1,2,14,18,0.3645,0.864,1
6,0,0,0,2,9,21,0.7365,0.0394,2
5,5,1,0,2,3,3,0.4158,0.8499,2
15,0,0,0,0,2,12,0.5431,0.7213,3
17,5,1,0,1,5,12,0.7337,0.3343,3
17,6,1,0,0,4,5,0.0605,0.4901,2
22,3,0,1,1,4,5,0.4549,0.6399,1
18,2,0,0,4,8,22,0.0952,0.9435,2
7,5,1,0,0,0,0,0.725,0.7801,3
2,6,1,1,3,6,6,0.1823,0.4285,1
14,0,0,0,0,17,17,0.3269,0.6454,2
21,6,1,1,2,17,26,0.0763,0.1859,1
23,6,1,1,4,0,13,0.9258,0.4239,2
5,0,0,0,1,13,15,0.315,0.7913,2
5,0,0,0,0,19,30,0.2754,0.6066,1
0,5,1,1,2,11,21,0.101,0.7832,1
3,0,0,1,1,7,10,0.5774,0.5098,2
13,4,0,0,4,9,10,0.2657,0.3801,2
13,0,0,0,4,4,11,0.8429,0.7425,3
8,4,0,0,3,7,8,0.6828,0.0938,2
7,1,0,0,3,18,19,0.0039,0.9786,1
19,0,0,0,3,12,18,0.5657,0.9484,1
11,0,0,0,3,8,20,0.2318,0.8804,1
19,1,0,0,2,2,16,0.0154,0.8843,2
23,3,0,1,4,18,27,0.6194,0.5111,1
7,0,0,0,1,3,7,0.2049,0.4979,3
4,5,1,1,0,14,18,0.8996,0.8201,1
22,4,0,1,3,6,15,0.172,0.2833,1
15,2,0,0,3,5,7,0.2092,0.8499,2
6,6,1,0,4,3,10,0.9791,0.2009,3
14,4,0,0,1,7,18,0.5464,0.8791,3
12,4,0,0,2,13,25,0.1655,0.5411,1
21,1,0,1,2,8,8,0.5172,0.8432,1
6,4,0,0,1,0,4,0.9593,0.4931,3
23,3,0,1,3,5,8,0.1273,0.6084,1
22,6,1,1,2,3,11,0.4253,0.9268,1
4,3,0,1,3,8,10,0.1383,0.4182,1
3,4,0,1,2,18,32,0.2801,0.2203,1
12,2,0,0,1,19,32,0.1618,0.091,1
1,0,0,1,4,19,23,0.5789,0.59,1
7,0,0,0,2,2,8,0.8942,0.6111,3
10,6,1,0,3,9,15,0.7357,0.6207,1
23,5,1,1,2,0,0,0.0962,0.0372,2
23,2,0,1,1,9,22,0.4008,0.0274,1
3,4,0,1,4,11,22,0.0053,0.8954,1
21,0,0,1,1,15,19,0.3079,0.6955,1
2,0,0,1,4,6,14,0.6694,0.1133,1
17,3,0,0,2,0,5,0.2902,0.0746,3
20,4,0,1,0,9,12,0.8406,0.1619,1
21,6,1,1,0,8,12,0.4774,0.8069,1
5,5,1,0,4,12,13,0.6692,0.7231,2
21,1,0,1,2,1,13,0.8839,0.6387,2
2,5,1,1,1,12,21,0.6828,0.6408,2
12,3,0,0,4,8,21,0.8973,0.8589,3
11,5,1,0,3,14,14,0.8081,0.3335,1
7,1,0,0,3,19,28,0.5671,0.3222,1
0,0,0,1,3,4,12,0.0892,0.4254,1
18,0,0,0,0,15,24,0.2981,0.9897,2
8,6,1,0,0,2,16,0.8753,0.5549,2
15,0,0,0,3,19,24,0.0539,0.5469,1
9,6,1,0,0,9,11,0.9414,0.8096,3
8,5,1,0,3,14,14,0.3271,0.1781,1
21,1,0,1,0,15,22,0.7389,0.4054,1
2,6,1,1,1,12,14,0.33,0.6414,1
17,1,0,0,3,7,9,0.9533,0.988,2
17,1,0,0,3,15,17,0.0365,0.1545,1
9,4,0,0,3,9,13,0.3533,0.452,2
6,2,0,0,3,13,14,0.8675,0.9056,2
0,2,0,1,0,12,19,0.2741,0.7255,1
22,1,0,1,4,9,18,0.2756,0.6138,1
22,4,0,1,1,2,6,0.8988,0.2571,2
5,0,0,0,0,5,7,0.8306,0.1872,2
0,1,0,1,4,18,26,0.1058,0.3742,1
2,3,0,1,0,10,11,0.5802,0.2551,1
1,3,0,1,2,12,23,0.2234,0.8085,1
19,4,0,0,2,5,10,0.2151,0.7207,2
21,1,0,1,3,14,20,0.1846,0.8352,1
3,4,0,1,0,9,12,0.1239,0.1711,1
17,5,1,0,0,4,8,0.4698,0.31,2
4,2,0,1,2,2,4,0.2558,0.7686,2
8,1,0,0,2,7,15,0.8539,0.1635,2
14,3,0,0,3,11,13,0.5545,0.1456,1
17,4,0,0,3,5,15,0.2151,0.3831,2
20,0,0,1,0,4,7,0.9265,0.1864,2
1,3,0,1,4,5,13,0.8229,0.0789,3
4,1,0,1,2,5,13,0.2653,0.3128,1
6,3,0,0,4,14,23,0.9611,0.8756,3
7,6,1,0,4,9,20,0.2677,0.0565,2
23,3,0,1,0,9,17,0.2926,0.5661,1
18,5,1,0,2,3,15,0.386,0.563,2
7,2,0,0,2,10,13,0.1648,0.5308,1
23,6,1,1,2,19,30,0.687,0.5055,1
11,5,1,0,1,14,19,0.5573,0.0172,2
12,6,1,0,2,8,17,0.8945,0.0475,2
10,5,1,0,2,6,13,0.2409,0.5112,2
3,4,0,1,0,7,20,0.1702,0.9683,1
22,3,0,1,1,0,4,0.3586,0.408,2
0,6,1,1,0,0,7,0.1461,0.4723,2
4,5,1,1,4,15,17,0.9462,0.9821,1
5,2,0,0,3,16,25,0.7174,0.7791,1
6,0,0,0,1,19,19,0.7962,0.7701,2
3,0,0,1,1,12,18,0.748,0.5047,1
0,1,0,1,0,18,18,0.2428,0.8979,1
16,0,0,0,1,8,12,0.1407,0.5812,3
23,1,0,1,4,5,12,0.4294,0.6567,2
2,0,0,1,0,4,8,0.829,0.7876,2
7,6,1,0,0,4,9,0.3305,0.4066,3
12,0,0,0,4,14,16,0.0096,0.9533,2
22,4,0,1,2,0,10,0.6601,0.988,2
16,2,0,0,0,18,29,0.2001,0.5871,1
18,1,0,0,2,15,21,0.5428,0.2221,1
13,4,0,0,3,7,7,0.0149,0.7749,1
10,6,1,0,1,14,14,0.5088,0.3221,2
4,5,1,1,1,2,12,0.3936,0.5771,1
20,6,1,1,3,8,21,0.2641,0.0867,1
19,4,0,0,2,2,14,0.7218,0.8074,3
0,4,0,1,4,2,8,0.036,0.9591,1
17,1,0,0,1,0,7,0.7895,0.0942,3
2,5,1,1,1,15,17,0.7912,0.7316,1
17,5,1,0,0,14,15,0.6634,0.8608,2
19,1,0,0,3,17,28,0.9293,0.1095,1
3,2,0,1,2,19,25,0.8033,0.2468,1
10,4,0,0,1,19,26,0.2189,0.3919,1
2,0,0,1,3,19,24,0.1145,0.8368,1
13,5,1,0,1,0,4,0.3499,0.4934,3
22,1,0,1,0,15,29,0.5049,0.137,1
1,0,0,1,2,14,26,0.9537,0.2564,1
9,2,0,0,2,3,13,0.6156,0.4674,3
23,5,1,1,2,2,7,0.3129,0.0393,1
7,1,0,0,2,19,29,0.9415,0.631,1
3,3,0,1,4,17,22,0.7003,0.0253,1
11,5,1,0,1,6,13,0.2661,0.7809,2
12,0,0,0,1,1,3,0.9065,0.7339,3
15,5,1,0,2,6,16,0.3442,0.8654,2
7,2,0,0,0,0,0,0.5162,0.1577,3
22,4,0,1,0,13,23,0.4792,0.6026,1
12,1,0,0,2,7,16,0.9236,0.781,2
6,0,0,0,2,0,0,0.2657,0.5157,3
23,5,1,1,3,19,26,0.1,0.1308,1
22,5,1,1,0,16,19,0.6602,0.0989,1
11,6,1,0,4,18,25,0.8866,0.6059,2
0,4,0,1,2,19,19,0.1149,0.4976,1
14,3,0,0,0,0,10,0.2099,0.9296,3
13,1,0,0,1,15,22,0.948,0.8338,2
3,2,0,1,1,15,20,0.7773,0.7237,1
15,4,0,0,2,15,28,0.3461,0.9824,2
20,2,0,1,2,5,14,0.3576,0.6946,1
2,3,0,1,2,7,16,0.4695,0.0924,1
17,1,0,0,2,18,20,0.6738,0.0776,1
3,3,0,1,4,1,8,0.561,0.8159,2
17,1,0,0,4,12,22,0.7761,0.3607,2
10,0,0,0,2,15,28,0.0542,0.9243,1
0,0,0,1,4,15,24,0.819,0.1182,1
23,3,0,1,4,11,13,0.0581,0.1988,1
3,2,0,1,4,15,25,0.881,0.7732,1
14,0,0,0,1,18,19,0.0433,0.8475,2
4,3,0,1,2,15,19,0.1278,0.8672,1
22,1,0,1,1,2,15,0.1802,0.0991,2
17,0,0,0,0,4,16,0.2231,0.3818,3
19,0,0,0,0,6,19,0.4018,0.6464,3
10,3,0,0,3,6,11,0.6555,0.9188,2
11,6,1,0,2,7,17,0.8926,0.239,2
15,1,0,0,4,4,14,0.5245,0.6003,3
18,1,0,0,3,13,16,0.5325,0.1435,1
20,1,0,1,0,2,16,0.3193,0.7473,1
0,2,0,1,4,15,29,0.8007,0.1275,1
15,5,1,0,2,13,14,0.1105,1.0,1
2,2,0,1,2,19,30,0.3011,0.0923,1
6,4,0,0,4,0,6,0.097,0.6853,2
19,6,1,0,3,5,15,0.2142,0.777,1
6,6,1,0,0,17,25,0.5866,0.258,1
19,3,0,0,0,9,12,0.126,0.2548,2
11,4,0,0,2,11,12,0.1006,0.5961,1
5,6,1,0,0,0,7,0.8259,0.6305,3
8,5,1,0,0,15,27,0.1183,0.7205,2
12,2,0,0,3,5,17,0.6081,0.5803,1
18,0,0,0,0,19,23,0.352,0.1745,1
14,0,0,0,0,7,19,0.8964,0.9241,3
22,6,1,1,2,3,8,0.7076,0.1666,1
20,3,0,1,0,11,19,0.0594,0.5652,1
18,2,0,0,1,9,13,0.8955,0.92,2
14,2,0,0,4,9,16,0.4139,0.913,2
6,1,0,0,3,18,25,0.2982,0.1679,1
9,5,1,0,4,7,17,0.6728,0.2386,2
2,4,0,1,1,7,14,0.718,0.6019,2
8,6,1,0,3,12,19,0.3033,0.3372,1
22,2,0,1,1,3,12,0.3517,0.7309,2
10,3,0,0,1,16,22,0.1563,0.5224,1
2,0,0,1,0,4,11,0.5934,0.2661,2
15,6,1,0,4,4,5,0.9569,0.411,3
23,3,0,1,0,0,13,0.4166,0.6911,2
20,3,0,1,1,6,7,0.9962,0.7851,2
6,2,0,0,2,11,24,0.1764,0.3696,1
10,1,0,0,2,14,25,0.7961,0.105,2
12,6,1,0,1,17,31,0.9281,0.3533,2
5,3,0,0,1,15,15,0.6881,0.6305,2
6,4,0,0,1,6,9,0.1093,0.7598,2
5,0,0,0,4,16,16,0.3265,0.8797,2
23,1,0,1,2,3,9,0.0857,0.9619,1
17,5,1,0,4,4,17,0.6017,0.5294,3
20,0,0,1,4,7,18,0.9981,0.8802,3
19,0,0,0,3,10,20,0.3748,0.2621,1
23,5,1,1,4,4,16,0.1629,0.5597,1
2,2,0,1,0,18,18,0.2686,0.5394,1
21,1,0,1,4,5,16,0.5708,0.7687,2
1,3,0,1,2,7,11,0.569,0.7731,1
11,1,0,0,3,12,22,0.2298,0.2853,1
14,0,0,0,1,8,19,0.7507,0.8859,3
8,0,0,0,0,8,18,0.088,0.8915,3
3,0,0,1,4,19,25,0.623,0.9482,1
4,1,0,1,2,8,17,0.4257,0.4576,1
19,4,0,0,0,2,9,0.1272,0.9874,3
7,2,0,0,3,14,23,0.6344,0.7849,1
7,0,0,0,0,14,20,0.673,0.6532,2
22,0,0,1,2,4,9,0.44,0.4323,1
3,3,0,1,3,17,20,0.2394,0.8424,1
21,5,1,1,3,7,12,0.1528,0.7641,1
22,2,0,1,2,3,13,0.2858,0.5856,1
14,0,0,0,1,3,16,0.9536,0.9971,3
3,1,0,1,4,14,15,0.944,0.2495,1
3,3,0,1,0,4,6,0.0956,0.6418,2
6,1,0,0,0,9,16,0.9461,0.3211,3
13,6,1,0,0,14,24,0.7755,0.4578,2
3,5,1,1,4,17,19,0.1066,0.3389,1
10,2,0,0,2,9,13,0.5193,0.3346,2
